"Code","Libellé"
"DIPL1","Pas de scolarité ou arrêt avant la fin du primaire"
"DIPL2","Aucun diplôme et scolarité interrompue à la fin du primaire ou avant la fin du collège"
"DIPL3","Aucun diplôme et scolarité jusqu’à la fin du collège ou au-delà"
"DIPL11","CEP (certificat d’études primaires)"
"DIPL12","BEPC, brevet élémentaire, brevet des collèges, DNB"
"DIPL13","CAP, BEP ou diplôme de niveau équivalent"
"DIPL14","Baccalauréat général ou technologique, brevet supérieur, capacité en droit, DAEU, ESEU"
"DIPL15","Baccalauréat professionnel, brevet professionnel, de technicien ou d’enseignement, diplôme équivalent"
"DIPL16","BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme équivalent"
"DIPL17","Licence, licence pro, maîtrise, diplôme équivalent de niveau bac+3 ou bac+4"
"DIPL18","Master, DEA, DESS, diplôme grande école niveau bac+5, doctorat de santé"
"DIPL19","Doctorat de recherche (hors santé)"
