"Code","Categorie","Nom fédération","Nom catégorie"
"CLUB101",1,"Fédération française d'athlétisme","Fédération unisport olympique"
"CLUB102",1,"Fédération française d'aviron","Fédération unisport olympique"
"CLUB103",1,"Fédération française de badminton","Fédération unisport olympique"
"CLUB105",1,"Fédération française de basketball","Fédération unisport olympique"
"CLUB106",1,"Fédération française de boxe","Fédération unisport olympique"
"CLUB107",1,"Fédération française de canoë-kayak","Fédération unisport olympique"
"CLUB108",1,"Fédération française de cyclisme","Fédération unisport olympique"
"CLUB109",1,"Fédération française d'équitation","Fédération unisport olympique"
"CLUB110",1,"Fédération française d'escrime","Fédération unisport olympique"
"CLUB111",1,"Fédération française de football","Fédération unisport olympique"
"CLUB112",1,"Fédération française des sports de glace","Fédération unisport olympique"
"CLUB113",1,"Fédération française de gymnastique","Fédération unisport olympique"
"CLUB114",1,"Fédération française d'haltérophilie, musculation","Fédération unisport olympique"
"CLUB115",1,"Fédération française de handball","Fédération unisport olympique"
"CLUB116",1,"Fédération française de hockey","Fédération unisport olympique"
"CLUB117",1,"Fédération française de judo-jujitsu et disciplines associées","Fédération unisport olympique"
"CLUB118",1,"Fédération française de lutte et disciplines associées","Fédération unisport olympique"
"CLUB119",1,"Fédération française de natation","Fédération unisport olympique"
"CLUB121",1,"Fédération française de ski","Fédération unisport olympique"
"CLUB122",1,"Fédération française de taekwondo et disciplines associées","Fédération unisport olympique"
"CLUB123",1,"Fédération française de tennis","Fédération unisport olympique"
"CLUB124",1,"Fédération française de tennis de table","Fédération unisport olympique"
"CLUB125",1,"Fédération française de tir","Fédération unisport olympique"
"CLUB126",1,"Fédération française de tir à l'arc","Fédération unisport olympique"
"CLUB127",1,"Fédération française de triathlon","Fédération unisport olympique"
"CLUB128",1,"Fédération française de voile","Fédération unisport olympique"
"CLUB129",1,"Fédération française de volley-ball","Fédération unisport olympique"
"CLUB131",1,"Fédération française de hockey sur glace","Fédération unisport olympique"
