"UNIQUE_ID","Occupation_42","ACT","DEGREE","insee_code","SEX","CURRENT_AGE","Familty_type","is_student","target"
1,"csp_5_4","act1-1","DIPL14","01001","Female",54,"TYPEM4|1",FALSE,65.8424
3,"csp_7_7","act2-1","DIPL12","01004","Female",78,"TYPEM1|2",FALSE,76.4134
5,"csp_7_8","act2-1","DIPL13","01004","Male",76,"TYPEM4|4",FALSE,58.6657
6,"csp_3_3","act1-1","DIPL16","01004","Male",43,"TYPEM4|2",FALSE,43.7094
8,"csp_7_8","act2-1","DIPL13","01004","Male",82,"TYPEM4|4",FALSE,59.8545
9,"csp_7_1","act2-1","DIPL13","01004","Male",72,"TYPEM4|4",FALSE,59.8887
12,"csp_7_5","act2-1","DIPL18","01004","Female",65,"TYPEM4|4",FALSE,67.4048
13,"csp_4_3","act1-1","DIPL18","01004","Female",33,"TYPEM4|1",FALSE,57.3122
16,"csp_4_2","act1-1","DIPL18","01004","Male",31,"TYPEM4|1",FALSE,53.3119
18,"csp_7_5","act2-1","DIPL13","01004","Female",63,"TYPEM4|4",FALSE,66.5847
19,"csp_4_6","act1-1","DIPL13","01004","Female",57,"TYPEM4|1",FALSE,58.9174
20,"csp_7_7","act2-1","DIPL16","01004","Male",63,"TYPEM4|4",FALSE,53.8198
29,"csp_7_7","act2-1","DIPL12","01005","Female",75,"TYPEM4|4",FALSE,75.1463
30,"csp_7_8","act2-1","DIPL13","01005","Male",66,"TYPEM4|3",FALSE,55.2167
31,"csp_5_4","act1-1","DIPL13","01005","Female",42,"TYPEM4|1",FALSE,60.0229
32,"csp_7_8","act2-1","DIPL11","01005","Male",89,"TYPEM1|1",FALSE,62.7506
33,"csp_8_1","act1-2","DIPL14","01005","Female",19,"TYPEM3|2",FALSE,56.2235
34,"csp_5_3","act1-1","DIPL13","01007","Male",28,"TYPEM4|1",FALSE,50.2796
37,"csp_7_7","act2-1","DIPL17","01007","Female",63,"TYPEM4|4",FALSE,63.8333
41,"csp_8_4","act2-2","DIPL12","01014","Male",16,"TYPEM4|1",FALSE,55.1746
42,"csp_8_4","act2-2","DIPL3","01014","Male",16,"TYPEM4|3",TRUE,41.236
47,"csp_5_5","act1-1","DIPL3","01024","Female",19,"TYPEM3|2",FALSE,49.3548
