"UNIQUE_ID","work_description","WORK_CONDITION","activity_sector","job_category","Employer_type","job_dep","TERMS_OF_EMP","pay","Employee_count","working_hours"
1,"543b","C","GZ","O","ct_9","69","CDI",23229,"tr_3",2028
19,"463e","C","GZ","O","ct_6","01","CDI",1241,"tr_6",45
31,"542a","P","QA","O","ct_9","01","CDI",4631,"tr_1",379
47,"552a","F","JA","O","ct_9","01","CDI",2879,"tr_1",278
49,"543e","P","OZ","O","ct_8","69","CDI",17010,"tr_6",1422
60,"653a","C","GZ","O","ct_9","01","CDI",14833,"tr_3",1842
64,"463b","C","GZ","O","ct_9","89","CDI",22991,"tr_6",455
65,"435b","P","RZ","O","ct_8","01","TOA",15511,"tr_1",1346
69,"423b","C","PZ","O","ct_8","01","CDI",25475,"tr_3",1820
71,"474b","C","CL","O","ct_9","01","CDI",29446,"tr_6",1974
72,"478c","C","JC","O","ct_9","69","CDI",15339,"tr_6",1820
74,"563a","D","QB","O","ct_7","01","CDI",3432,"tr_0",663
81,"463c","C","MA","O","ct_9","75","CDI",36270,"tr_6",2200
82,"676e","C","CH","O","ct_9","69","CDI",16078,"tr_2",1905
83,"433d","C","GZ","O","ct_9","01","CDI",24837,"tr_2",1746
84,"433a","P","QA","O","ct_9","01","CDI",14592,"tr_2",1481
91,"476b","F","CC","O","ct_9","01","CDI",4590,"tr_1",324
103,"461f","P","QA","O","ct_1","01","CDI",20961,"tr_5",1625
105,"434b","P","QA","O","ct_8","01","CDI",20527,"tr_2",1586
107,"554a","C","GZ","O","ct_9","01","AUT",20020,"tr_2",2028
124,"526b","P","QA","O","ct_9","01","CDI",19669,"tr_2",1650
131,"542a","C","GZ","O","ct_9","01","CDI",18953,"tr_1",1895
146,"554a","P","CA","O","ct_9","01","CDD",6306,"tr_0",752
150,"478a","C","CC","O","ct_9","01","CDI",20228,"tr_4",1833
158,"673a","C","CH","O","ct_9","01","CDI",24027,"tr_2",1929
162,"683a","C","CA","A","ct_6","01","APP",6279,"tr_1",1827
164,"472b","C","MA","O","ct_9","69","CDI",23417,"tr_3",2045
169,"388b","C","KZ","O","ct_9","69","CDI",44277,"tr_1",1820
183,"556a","C","GZ","O","ct_9","71","CDI",22065,"tr_4",1820
187,"545b","C","KZ","O","ct_9","69","CDI",29666,"tr_3",1820
188,"632a","C","FZ","O","ct_9","01","CDI",13988,"tr_0",1352
189,"624f","C","CH","O","ct_9","71","CDI",18772,"tr_3",1820
190,"563a","D","QB","O","ct_7","01","CDI",22313,"tr_1",3000
192,"384b","C","CL","O","ct_9","01","CDI",26492,"tr_4",1878
194,"422d","C","PZ","O","ct_8","01","CDI",25304,"tr_3",1820
201,"421b","C","PZ","O","ct_8","01","CDI",43733,"tr_1",2028
204,"681a","C","FZ","O","ct_9","01","CDI",17735,"tr_3",1666
206,"463c","C","JA","O","ct_9","92","CDI",41803,"tr_6",1819
218,"423b","C","QB","O","ct_8","01","CDI",21618,"tr_5",1820
219,"623e","C","CH","O","ct_9","01","CDI",17482,"tr_4",1896
221,"484a","C","CM","O","ct_9","01","CDI",25134,"tr_4",1826
235,"674a","C","NZ","O","ct_9","01","TTP",15493,"tr_1",378
236,"625h","C","EZ","A","ct_9","01","APP",17190,"tr_2",1693
237,"621a","C","FZ","O","ct_9","01","CDI",25485,"tr_4",1844
239,"628c","P","CH","O","ct_9","01","CDI",17106,"tr_3",859
241,"636c","C","CA","X","ct_9","69","AUT",11084,"tr_3",1233
251,"421b","C","PZ","O","ct_8","01","CDI",21715,"tr_1",1820
253,"684a","Y","NZ","O","ct_6","01","CDD",1766,"tr_2",166
254,"421b","C","PZ","O","ct_2","01","AUT",25220,"tr_2",1820
255,"563a","D","QB","O","ct_7","01","CDI",16532,"tr_1",3000
259,"432d","C","QA","O","ct_9","01","CDI",17404,"tr_5",1467
266,"628g","C","CG","O","ct_9","01","CDI",19177,"tr_5",1962
271,"632k","C","GZ","O","ct_9","01","CDI",13314,"tr_6",1856
285,"374d","C","GZ","O","ct_9","01","CDI",26048,"tr_0",1808
289,"333f","C","OZ","O","ct_2","01","CDD",24843,"tr_5",1820
305,"478a","C","SZ","O","ct_6","01","CDI",9804,"tr_1",865
313,"683a","C","CA","A","ct_9","69","APP",3884,"tr_1",1301
320,"526a","C","QB","O","ct_9","01","CDI",17199,"tr_3",1823
325,"655a","C","HZ","O","ct_9","71","CDI",33686,"tr_4",1824
331,"526e","C","QA","O","ct_9","01","CDI",17443,"tr_2",1478
332,"526d","C","QB","O","ct_8","01","CDI",19653,"tr_5",1820
335,"561c","C","IZ","O","ct_9","01","CDI",22356,"tr_1",756
355,"545c","C","KZ","O","ct_9","69","CDI",27318,"tr_3",1803
359,"681a","C","NZ","O","ct_9","01","TTP",1036,"tr_1",152
364,"387d","C","KZ","O","ct_9","01","CDI",38784,"tr_2",2028
365,"676c","C","NZ","O","ct_9","04","TTP",12520,"tr_1",418
373,"543b","C","MA","O","ct_9","01","CDI",13594,"tr_1",1127
377,"462d","Y","MC","O","ct_9","69","TOA",14127,"tr_4",1670
378,"653a","C","GZ","O","ct_9","01","CDI",15863,"tr_3",1842
383,"542a","C","LZ","O","ct_9","01","CDI",19354,"tr_6",1828
389,"684b","C","EZ","O","ct_9","69","CDI",21589,"tr_3",2006
393,"431f","C","QA","O","ct_9","01","CDI",24961,"tr_6",1814
396,"563a","D","QB","O","ct_7","01","CDI",13061,"tr_1",3000
417,"467b","C","KZ","O","ct_9","69","CDI",38579,"tr_5",1950
418,"674c","C","NZ","O","ct_9","01","TTP",11783,"tr_3",785
419,"542a","C","KZ","O","ct_9","01","CDI",24930,"tr_1",1820
424,"545b","C","KZ","O","ct_9","01","CDD",8446,"tr_1",914
428,"433a","C","QA","O","ct_1","01","CDI",26226,"tr_5",1825
440,"628c","C","CL","O","ct_9","01","CDI",27927,"tr_4",2149
444,"675b","C","CM","O","ct_9","01","CDI",17593,"tr_4",1826
449,"388a","C","JC","O","ct_9","69","CDI",37403,"tr_1",1660
471,"542a","C","CH","O","ct_9","01","CDI",19710,"tr_5",2016
473,"344a","P","QA","O","ct_8","69","CDI",12752,"tr_6",202
479,"543g","C","SZ","O","ct_8","69","CDI",33005,"tr_5",1820
491,"542a","K","MC","O","ct_9","77","CDD",6606,"tr_1",302
499,"684a","P","NZ","O","ct_9","69","CDI",5425,"tr_3",789
510,"341a","C","PZ","O","ct_1","01","TOA",22208,"tr_4",1820
514,"462b","P","GZ","O","ct_9","69","CDI",21756,"tr_5",1671
521,"479b","C","DZ","O","ct_9","01","CDI",22930,"tr_4",1778
526,"632d","C","FZ","O","ct_6","01","CDI",3531,"tr_1",171
528,"551a","C","GZ","O","ct_9","01","CDI",30833,"tr_3",2200
534,"554d","P","GZ","O","ct_9","01","CDI",17460,"tr_1",1818
536,"563b","P","QB","O","ct_8","01","CDI",11402,"tr_6",1391
537,"628a","C","HZ","O","ct_5","69","AUT",18125,"tr_6",1896
539,"387a","C","CA","O","ct_9","01","CDI",72527,"tr_5",1819
546,"377a","C","IZ","O","ct_9","75","CDI",30014,"tr_4",1820
549,"374d","C","KZ","O","ct_9","07","CDI",45013,"tr_3",1917
566,"525d","P","QB","O","ct_8","39","CDI",5721,"tr_4",506
567,"534a","C","NZ","O","ct_9","01","CDI",18083,"tr_3",2031
571,"463c","C","GZ","O","ct_9","01","CDI",17520,"tr_1",1820
583,"543f","C","CC","O","ct_9","01","CDI",23084,"tr_3",1820
584,"523c","C","OZ","O","ct_2","01","AUT",20528,"tr_6",1819
589,"563c","C","TZ","O","ct_7","01","CDI",1600,"tr_1",192
595,"487b","C","GZ","O","ct_9","01","CDI",22859,"tr_3",1913
596,"389a","C","HZ","O","ct_9","38","CDI",28315,"tr_3",1820
598,"543b","P","CK","O","ct_9","01","CDI",12455,"tr_5",997
602,"673c","C","CH","O","ct_9","01","CDI",20668,"tr_4",2143
605,"561c","P","IZ","O","ct_9","01","CDI",6199,"tr_1",681
610,"563a","D","QB","O","ct_7","01","CDI",19026,"tr_1",3000
614,"383c","P","MB","O","ct_8","69","CDI",29580,"tr_5",1649
619,"652a","C","HZ","O","ct_9","01","CDI",17502,"tr_3",2219
631,"554a","C","GZ","A","ct_9","01","APP",13102,"tr_5",1858
633,"634a","C","GZ","O","ct_6","69","CDI",23481,"tr_2",2022
645,"562a","P","SZ","O","ct_8","69","CDI",10477,"tr_3",1294
646,"673a","P","CC","O","ct_9","01","CDI",14358,"tr_1",1572
647,"374a","C","GZ","O","ct_9","01","CDI",24726,"tr_1",1820
653,"545c","C","KZ","O","ct_9","69","CDI",27129,"tr_3",1803
660,"542a","P","GZ","O","ct_9","01","CDI",7114,"tr_1",801
665,"386b","C","EZ","O","ct_9","01","CDI",37418,"tr_1",1813
682,"484a","C","CE","O","ct_9","69","CDI",35310,"tr_5",1826
687,"564a","C","LZ","O","ct_5","01","CDI",16667,"tr_5",1819
698,"563a","D","QB","O","ct_7","01","CDI",16162,"tr_1",3000
709,"673b","C","NZ","O","ct_9","01","TTP",11530,"tr_5",540
714,"628g","C","NZ","O","ct_9","01","TTP",9152,"tr_1",1029
715,"431f","C","QA","O","ct_8","01","CDI",20170,"tr_2",1820
716,"526a","C","QB","O","ct_6","01","CDI",15112,"tr_4",1841
722,"563c","C","TZ","O","ct_7","01","CDI",15888,"tr_0",603
728,"634d","C","BZ","O","ct_9","69","CDI",21397,"tr_1",1820
742,"462a","C","GZ","O","ct_9","01","AUT",25002,"tr_1",1828
743,"684a","C","NZ","O","ct_9","38","CDI",18395,"tr_6",1708
753,"684a","C","NZ","O","ct_9","01","CDI",15848,"tr_3",1820
759,"424a","C","RZ","O","ct_9","71","CDI",19951,"tr_1",1554
768,"563c","C","TZ","O","ct_7","01","CDI",7546,"tr_1",769
769,"526e","C","QA","O","ct_9","01","CDI",17063,"tr_1",1934
770,"632c","C","FZ","O","ct_9","01","CDI",20812,"tr_2",1801
772,"628a","C","CH","O","ct_9","01","CDI",31914,"tr_5",1961
782,"551a","P","GZ","O","ct_9","57","CDI",14637,"tr_6",1555
792,"467c","C","KZ","O","ct_8","01","CDI",32577,"tr_5",1653
794,"431b","P","QA","O","ct_8","01","CDI",12339,"tr_6",909
795,"673a","C","CH","O","ct_9","69","CDI",24899,"tr_2",1976
799,"525d","C","QB","O","ct_8","01","CDI",15339,"tr_5",1820
807,"673a","C","CH","O","ct_9","71","CDI",28297,"tr_2",2135
813,"451a","C","HZ","O","ct_9","01","CDI",19745,"tr_3",1824
814,"461b","C","SZ","O","ct_8","69","CDI",20129,"tr_3",1700
