"UNIQUE_ID","SPORTS"
33,"CLUB126"
34,"CLUB133"
41,"CLUB108"
42,"CLUB604"
49,"CLUB402"
66,"CLUB402"
69,"CLUB211"
71,"CLUB101"
81,"CLUB219"
93,"CLUB410"
99,"CLUB245"
114,"CLUB202"
124,"CLUB249"
133,"CLUB604"
156,"CLUB111"
157,"CLUB201"
161,"CLUB127"
215,"CLUB245"
217,"CLUB232"
219,"CLUB109"
231,"CLUB211"
240,"CLUB407"
262,"CLUB211"
284,"CLUB219"
307,"CLUB402"
354,"CLUB109"
387,"CLUB211"
391,"CLUB111"
395,"CLUB132"
411,"CLUB132"
431,"CLUB233"
455,"CLUB105"
457,"CLUB109"
466,"CLUB132"
507,"CLUB605"
512,"CLUB254"
516,"CLUB113"
526,"CLUB242"
536,"CLUB402"
553,"CLUB129"
558,"CLUB111"
559,"CLUB211"
567,"CLUB123"
571,"CLUB217"
583,"CLUB402"
584,"CLUB111"
590,"CLUB404"
615,"CLUB111"
634,"CLUB111"
652,"CLUB402"
668,"CLUB604"
673,"CLUB408"
678,"CLUB132"
682,"CLUB401"
687,"CLUB111"
705,"CLUB111"
708,"CLUB133"
712,"CLUB108"
718,"CLUB209"
759,"CLUB132"
762,"CLUB124"
787,"CLUB121"
795,"CLUB111"
813,"CLUB111"
825,"CLUB111"
832,"CLUB123"
840,"CLUB123"
844,"CLUB242"
848,"CLUB113"
863,"CLUB121"
877,"CLUB406"
887,"CLUB121"
894,"CLUB117"
895,"CLUB252"
925,"CLUB211"
937,"CLUB211"
940,"CLUB111"
968,"CLUB111"
973,"CLUB111"
990,"CLUB111"
1004,"CLUB111"
1009,"CLUB413"
1054,"CLUB101"
1060,"CLUB123"
1067,"CLUB109"
1074,"CLUB117"
1099,"CLUB407"
1124,"CLUB402"
1136,"CLUB413"
1183,"CLUB126"
1186,"CLUB111"
1208,"CLUB108"
1228,"CLUB229"
1238,"CLUB420"
1253,"CLUB402"
1301,"CLUB109"
1335,"CLUB111"
1347,"CLUB111"
1373,"CLUB403"
1380,"CLUB111"
1388,"CLUB407"
1405,"CLUB105"
1419,"CLUB111"
1473,"CLUB402"
1482,"CLUB413"
1490,"CLUB111"
1518,"CLUB111"
1520,"CLUB604"
1533,"CLUB604"
1538,"CLUB219"
1548,"CLUB105"
1550,"CLUB125"
1552,"CLUB604"
1588,"CLUB126"
1594,"CLUB111"
1598,"CLUB111"
1599,"CLUB111"
1631,"CLUB219"
1639,"CLUB420"
1679,"CLUB420"
1703,"CLUB210"
1704,"CLUB210"
1715,"CLUB117"
1725,"CLUB402"
1733,"CLUB123"
1740,"CLUB125"
1755,"CLUB254"
1756,"CLUB106"
1780,"CLUB109"
1796,"CLUB111"
1800,"CLUB413"
1803,"CLUB246"
1806,"CLUB402"
1811,"CLUB113"
1814,"CLUB402"
1824,"CLUB229"
1841,"CLUB229"
1849,"CLUB218"
1862,"CLUB111"
1897,"CLUB111"
1900,"CLUB105"
1904,"CLUB103"
1932,"CLUB233"
1933,"CLUB115"
1934,"CLUB109"
1939,"CLUB123"
1941,"CLUB406"
1945,"CLUB218"
1961,"CLUB229"
1989,"CLUB109"
2010,"CLUB218"
2013,"CLUB111"
2055,"CLUB404"
2093,"CLUB102"
2096,"CLUB403"
2103,"CLUB202"
2109,"CLUB604"
2156,"CLUB403"
2160,"CLUB114"
2188,"CLUB413"
2189,"CLUB125"
2193,"CLUB109"
2203,"CLUB242"
2206,"CLUB103"
2207,"CLUB113"
2218,"CLUB102"
2235,"CLUB242"
2247,"CLUB402"
2255,"CLUB403"
2257,"CLUB111"
2274,"CLUB132"
2296,"CLUB111"
2327,"CLUB218"
2336,"CLUB105"
2340,"CLUB604"
2363,"CLUB413"
2387,"CLUB117"
2395,"CLUB605"
2397,"CLUB605"
2408,"CLUB420"
2419,"CLUB245"
2424,"CLUB111"
2459,"CLUB125"
2462,"CLUB257"
2465,"CLUB123"
2471,"CLUB117"
2473,"CLUB218"
2477,"CLUB604"
2495,"CLUB413"
2508,"CLUB245"
2534,"CLUB242"
2565,"CLUB242"
2622,"CLUB131"
2647,"CLUB402"
2654,"CLUB101"
2667,"CLUB404"
